specimen_id,species,caste,image_initials,measure_initials,l1_femurL_1,l1_femurL_2,l1_femurW_1,l1_femurW_2,l1_tibiaL_1,l1_tibiaL_2,l1_tibiaW_1,l1_tibiaW_2,l1_btarsL_1,l1_btarsL_2,l1_btarsW_1,l1_btarsW_2,l2_femurL_1,l2_femurL_2,l2_femurW_1,l2_femurW_2,l2_tibiaL_1,l2_tibiaL_2,l2_tibiaW_1,l2_tibiaW_2,l2_btarsL_1,l2_btarsL_2,l2_btarsW_1,l2_btarsW_2,l3_femurL_1,l3_femurL_2,l3_femurW_1,l3_femurW_2,l3_tibiaL_1,l3_tibiaL_2,l3_tibiaW_1,l3_tibiaW_2,l3_btarsL_1,l3_btarsL_2,l3_btarsW_1,l3_btarsW_2,notes
FJ190703-013,imp,W,CL,PF,,,,,,,,,,,,,2.064,1.913,0.769,0.9,1.823,1.8,0.747,0.703,1.767,1.837,0.585,0.597,2.361,2.591,0.701,0.8,2.758,2.539,0.795,0.867,1.771,2.007,0.576,0.736,
FJ190705-004,bim,W,DY,DY,,,,,,,,,,,,,,,,,,2.043,,0.897,1.752,1.912,0.687,0.699,2.614,,0.884,,2.828,3.147,1.119,1.028,1.932,1.734,0.834,0.969,
FJ190709-001,vag,W,DY,PF,,,,,1.417,1.499,0.386,0.441,1.251,1.128,0.302,0.281,1.961,2.084,0.766,0.773,1.886,1.89,0.618,0.658,1.42,1.64,0.491,0.505,1.96,1.799,0.775,0.622,2.373,2.514,0.825,0.73,1.657,1.583,0.673,0.468,
FJ190709-002,bor,W,CL,PF,1.585,2.437,0.543,0.687,1.859,1.756,0.688,0.554,1,,0.534,,3.031,2.731,1.047,1.081,2.383,2.169,0.934,0.905,2.077,2.182,0.738,0.742,3,3.174,1.013,0.906,3.058,3.164,1.026,0.943,2.137,2.401,0.263,0.739,
FJ190709-003,ferv,W,CL,PF,1.882,,0.546,,1.546,,0.519,,1.473,,0.428,,2.083,2.395,0.924,0.811,1.964,1.926,0.705,0.648,1.799,1.897,0.493,0.51,2.99,2.76,0.903,0.807,2.738,2.628,0.903,1.02,1.797,1.983,0.593,0.639,
FJ190709-004,bim,W,CL,PF,2.14,1.772,0.612,0.629,1.632,1.872,0.503,0.472,1.457,1.423,0.42,0.35,2.661,2.781,0.934,0.911,2.237,2.212,0.77,0.822,2.189,2.176,0.592,0.63,2.973,3.136,0.934,0.891,3.203,2.924,1.139,1.032,2.273,2.24,0.733,0.956,
FJ190709-005,bim,W,CL,PF,,,,,,,,,,,,,2.716,,0.992,,2.252,,0.796,,2.166,,0.548,,2.797,2.641,0.752,0.724,3.264,3.002,0.985,1.017,2.087,2.294,0.519,0.782,
FJ190709-006,bim,W,DY,DY,1.871,,0.856,,2.151,,0.807,,1.979,,0.734,,2.652,2.798,1.076,1.027,2.42,2.596,1.157,1.052,2.664,2.528,0.839,0.687,2.57,3.375,0.955,1.229,3.931,3.868,1.604,1.334,2.228,2.849,1.208,1.064,
FJ190709-007,bim,W,DY,DY,2.588,,0.747,,2.067,,0.687,,1.791,,0.647,,2.923,2.965,1.108,1.383,2.684,2.604,1.157,1.313,2.436,2.829,0.823,0.944,3.346,3.219,1.704,0.99,3.638,3.898,1.599,0.992,2.609,2.763,1.24,0.766,
FJ190709-008,imp,W,CL,PF,1.96,1.928,0.43,0.518,1.628,1.458,0.519,0.486,1.389,1.177,0.404,0.444,2.802,,0.721,,1.751,,0.672,,1.798,,0.617,,2.617,2.559,0.874,0.815,2.992,2.834,0.867,0.849,1.962,2.004,0.639,0.57,
FJ190709-009,san,W,CL,PF,1.955,1.931,0.608,0.559,1.562,1.384,0.454,0.449,1.417,1.419,0.353,0.408,2.32,2.344,0.895,0.939,1.883,2.012,0.836,0.75,1.794,1.827,0.59,0.647,2.381,,0.747,,3.049,,0.7,,1.912,,0.59,,
FJ190709-010,bim,W,Dy,DY,2.516,2.277,0.763,0.723,2.076,2.204,0.731,0.784,1.915,1.896,0.699,0.565,3.309,3.902,1.219,1.141,2.641,2.695,1.022,1.136,2.623,2.719,0.855,0.784,4.119,3.497,1.219,1.846,3.671,3.659,1.509,1.451,2.567,2.719,1.316,1.284,
FJ190709-011,vag,W,DY,PF,2.081,1.77,0.557,0.555,1.539,1.517,0.457,0.497,1.335,1.438,0.42,0.477,2.569,,0.887,,2.093,,0.709,,2.099,,0.589,,2.663,2.671,0.891,0.861,3.146,3.119,0.999,0.955,1.815,2.052,0.828,0.888,
FJ190709-012,bim,W,DY,DY,,,,,,,,,,,,,2.423,2.927,1.07,1.176,2.58,1.809,0.977,0.797,2.228,2.222,0.769,0.661,,,,,3.468,3.431,1.251,1.135,2.014,2.038,1.011,1.009,
FJ190710-001,bim,W,DY,DY,2.777,,0.769,,2.181,2.027,0.726,0.74,1.897,1.913,0.618,0.526,2.869,2.908,1.304,1.322,2.875,2.522,1.061,0.87,2.713,2.866,0.847,0.793,3.896,3.472,1.252,1.171,3.827,3.078,1.285,1.338,2.742,4.146,1.176,1.207,
FJ190710-002,bim,M,DY,DY,2.935,3.579,0.739,0.916,2.475,2.268,0.758,0.677,2.294,2.218,0.783,0.523,3.585,3.096,1.231,1.283,2.801,2.955,1.172,1.239,3.484,3.392,0.896,0.719,4.005,4.178,1.21,1.265,4.361,4.246,1.197,1.069,3.438,3.461,0.763,0.876,
FJ190710-003,imp,W,CL,PF,2.708,2.691,0.485,0.531,1.74,1.57,0.679,0.632,1.629,1.512,0.496,0.485,2.94,2.563,0.855,0.917,2.07,2.17,0.725,0.796,2.216,2.078,0.602,0.648,2.907,2.438,0.926,0.808,2.967,3.528,1.048,0.839,2.27,2.414,1.028,0.707,
FJ190710-004,imp,W,CL,PF,1.981,1.449,0.637,0.585,1.775,1.718,0.553,0.529,1.495,1.458,0.461,0.451,2.77,,0.976,,2.313,,0.728,,2.293,,0.684,,3.023,3.086,0.96,1.003,3.164,3.357,0.999,0.98,2.343,2.114,0.997,0.954,
FJ190711-001,ferv,Q,CL,PF,3.223,,1.356,,3.003,,1.239,,,,,,4.081,,1.571,,2.964,,1.123,,2.968,,0.776,,4.165,3.825,1.32,1.113,4.449,4.384,1.542,1.407,2.683,2.808,1.061,1.184,
FJ190711-009,tern,W,CL,PF,2.093,,0.751,,1.651,,0.538,,1.614,,0.299,,2.528,,0.842,,1.73,,0.634,,1.681,,0.487,,1.852,,0.704,,2.57,,0.857,,1.56,,0.674,,
FJ190711-010,imp,W,CL,PF,1.855,1.946,0.548,0.598,1.564,1.491,0.626,0.549,1.394,1.401,0.388,0.433,2.126,2.034,0.85,0.853,1.869,2.262,0.804,0.783,2.017,1.964,0.591,0.586,1.915,2.442,0.694,0.69,3.108,3.248,1.059,0.717,1.857,2.084,0.976,0.667,
FJ190715-001,bim,M,PF,DY,2.47,2.711,0.681,0.82,2.177,2.174,0.465,0.54,2.198,2.087,0.391,0.414,3.691,3.243,1.049,1.231,2.896,2.912,1.003,1.055,3.038,3.294,0.645,0.662,4.078,3.75,1.2,1.287,4.291,4.067,1.023,1.196,3.35,3.326,0.826,0.696,
FJ190715-002,imp,W,CL,PF,1.498,,0.597,,1.672,,0.464,,1.498,,0.436,,2.636,2.122,0.922,0.644,2.152,2.508,0.717,0.484,2.01,,0.581,,2.876,3.421,0.86,0.984,3.026,3.229,1.03,1.077,2.3,2.262,0.877,0.964,
FJ190716-001,tern,W,PF,DMO,2.242,1.583,0.634,0.595,1.858,1.537,0.631,0.564,1.377,1.427,0.512,0.369,2.596,2.402,1.027,1.107,2.025,2.184,0.814,0.817,2.256,1.866,0.437,0.62,2.859,2.966,0.969,0.932,2.813,3.469,0.952,1.117,2.273,2.331,0.848,0.888,
FJ190716-002,tern,W,PF,DY,2.108,,0.701,,1.893,,0.584,,1.776,,0.525,,2.732,2.599,1.159,1.165,2.553,2.199,1.011,0.808,2.52,,0.667,,3.326,3.348,0.955,1.013,3.352,3.378,1.265,1.015,2.285,2.427,0.936,0.826,
FJ190716-003,vag,W,PF,DMO,,,,,,,,,,,,,2.779,2.532,1.002,0.84,2.391,3.03,0.77,0.915,2.326,2.039,0.61,0.688,3.121,2.645,0.906,0.824,3.664,3.519,1.159,1.254,2.091,2.315,0.898,1.053,
FJ190716-004,bim,W,PF,DMO,2.125,1.947,0.545,0.553,1.847,1.896,0.49,0.543,1.321,1.381,0.38,0.361,2.28,,0.597,,1.959,,0.968,,1.994,,0.654,,2.42,2.648,0.823,0.805,2.881,2.877,0.68,0.939,2.162,2.033,0.735,0.824,
FJ190716-005,bim,W,PF,DMO,2.654,2.51,0.723,0.524,1.955,2.076,0.599,0.587,1.727,1.784,0.5,0.478,3.042,2.863,1.074,1.022,2.456,2.187,0.83,0.793,2.358,2.378,0.554,0.644,3.901,3.532,0.915,0.962,3.98,3.786,1.12,1.026,2.461,2.436,0.942,0.725,
FJ190716-006,bim,W,PF,DMO,2.878,2.962,0.825,0.896,2.47,2.466,0.703,0.672,2.162,2.199,0.566,0.643,3.095,2.972,1.257,1.021,2.955,3.079,1.033,0.785,3.154,,0.804,,3.895,3.829,1.494,1.213,4.449,4.522,1.387,0.915,3.027,2.873,1.118,1.219,
FJ190716-007,bim,W,PF,DMO,3.215,3.087,0.942,0.915,2.644,2.79,0.683,0.815,2.034,2.106,0.648,0.564,3.554,4.302,1.773,1.336,3.32,3.286,1.068,1.131,3.37,3.39,0.831,0.822,,4.298,,1.323,4.646,4.582,1.394,1.574,3.193,3.431,1.209,1.319,
