specimen_id,species,caste,image_initials,measure_initials,l1_femurL_1,l1_femurL_2,l1_femurW_1,l1_femurW_2,l1_tibiaL_1,l1_tibiaL_2,l1_tibiaW_1,l1_tibiaW_2,l1_btarsL_1,l1_btarsL_2,l1_btarsW_1,l1_btarsW_2,l2_femurL_1,l2_femurL_2,l2_femurW_1,l2_femurW_2,l2_tibiaL_1,l2_tibiaL_2,l2_tibiaW_1,l2_tibiaW_2,l2_btarsL_1,l2_btarsL_2,l2_btarsW_1,l2_btarsW_2,l3_femurL_1,l3_femurL_2,l3_femurW_1,l3_femurW_2,l3_tibiaL_1,l3_tibiaL_2,l3_tibiaW_1,l3_tibiaW_2,l3_btarsL_1,l3_btarsL_2,l3_btarsW_1,l3_btarsW_2,notes
JL190716-005,bim,W,CL,CL,1.872,1.848,0.461,0.471,1.601,1.613,0.396,0.441,1.303,1.307,0.435,0.502,2.637,,0.907,0.822,2.007,1.879,0.694,0.632,1.917,2.04,0.417,0.456,2.442,2.455,0.664,0.722,2.828,2.919,0.731,0.692,1.934,2.018,0.731,0.775,
JL190716-006,tern,W,CL,CL,,,,,,,,,,,,,2.687,2.506,1.014,1.01,2.319,2.297,0.702,0.812,2.168,2.335,0.666,0.498,3.596,2.915,0.809,0.897,3.217,3.285,0.817,0.986,2.164,2.45,0.755,0.897,
JL190716-007,tern,W,CL,CL,1.837,,0.565,,1.684,,0.605,,,,,,1.931,,0.775,,2.131,,0.795,,2.136,,0.619,,2.336,,0.821,,2.948,3.073,0.966,0.87,1.885,1.921,0.881,0.882,
JL190716-008,tern,W,CL,CL,2.255,,0.611,,1.914,,0.616,,1.526,,0.494,,2.367,2.57,0.915,0.883,2.211,2.251,0.722,0.839,2.153,2.091,0.417,0.565,2.896,3.006,0.809,0.746,3.176,3.317,0.734,1.043,1.953,2.286,0.787,0.688,
JL190716-009,tern,W,CL,CL,1.44,1.601,0.451,0.483,1.514,1.393,0.602,0.49,1.334,1.101,0.365,0.46,2.065,,0.58,,1.438,1.698,0.619,0.56,1.608,1.421,0.424,0.472,1.993,,0.639,,2.422,2.497,0.924,0.856,1.469,1.574,0.646,0.751,
JL190716-010,bim,M,CL,CL,2.806,2.644,0.763,0.817,2.394,2.047,0.659,0.59,1.987,2.279,0.502,0.523,3.079,3.337,1.063,1.135,2.958,2.876,0.881,1.019,3.073,3.31,0.675,0.666,3.698,3.743,0.796,1.031,4.527,3.946,0.875,1.122,3.328,3.364,0.77,0.867,
JL190716-011,imp,W,CL,CL,2.071,2.166,0.599,0.587,2.021,2.025,0.735,0.659,1.638,1.829,0.641,0.477,3,2.805,1.091,,2.543,2.492,0.967,0.76,2.639,2.45,0.625,0.75,3.33,3.406,0.924,0.891,3.357,3.593,1.252,1.21,2.586,2.796,1.076,1.187,
JL190716-012,imp,W,CL,CL,2.145,2.265,0.596,0.467,2.103,2.14,0.571,0.568,,1.859,0.467,0.604,2.673,2.61,1.075,1.059,2.52,2.693,0.889,0.859,2.419,2.384,0.704,0.649,,3.711,1.002,0.883,3.643,3.819,1.362,1.078,2.716,2.721,1.295,1.236,
JL190718-002,vag,M,DY,PF,1.901,1.839,0.487,0.492,1.374,1.621,0.384,0.389,1.327,1.178,0.244,0.234,2.305,2.394,0.613,0.768,1.806,1.727,0.545,0.661,2.007,2.067,0.362,0.319,2.645,2.67,0.634,0.612,2.368,2.732,0.761,0.5,2.113,2.049,0.53,0.34,
JL190724-002,tern,W,CL,CL,2.155,,0.506,,2.146,,0.531,,,,0.465,,2.82,2.695,1.106,1.199,2.27,2.322,1.006,0.907,2.153,2.414,0.688,0.709,3.224,3.046,1.121,0.866,3.619,3.604,1.11,0.942,2.323,2.477,0.924,0.731,
JL190724-003,bim,W,CL,CL,2.003,,0.498,0.555,2.121,2.182,0.718,0.663,1.815,1.943,0.602,0.657,3.711,,1.337,,2.571,,1.026,,2.772,,0.796,,3.514,3.49,1.096,0.837,3.662,3.99,1.247,0.974,2.901,2.794,1.203,0.933,
JL190724-004,tern,W,CL,CL,2.25,2.001,0.679,0.615,1.955,1.984,0.657,0.645,1.798,1.729,0.683,0.539,2.739,2.663,0.954,1.053,2.304,2.438,1.058,0.907,2.34,2.538,0.581,0.578,3.487,,0.616,,2.862,,0.689,,2.787,,0.688,,
JL190724-005,tern,W,CL,DMO,2.232,,0.559,,1.966,,0.54,,1.65,,0.439,,2.698,2.394,0.918,1.051,2.403,2.285,0.739,0.75,1.949,2.255,0.576,0.603,3.098,2.796,0.914,0.94,3.227,3.472,1.072,1.037,2.103,2.395,0.785,0.652,
JL190724-006,vag,W,CL,DMO,1.988,,0.627,,1.874,,0.514,,1.491,,0.35,,2.841,2.652,0.931,0.889,2.464,1.891,0.901,0.961,2.269,2.212,0.696,0.629,2.697,3.15,1.013,0.973,3.558,3.307,1.114,0.947,2.265,2.243,0.698,0.897,
JL190731-001,imp,W,CL,DMO,2.095,,0.637,,2.024,,0.622,,1.659,,0.461,,2.906,,0.971,,2.35,,0.91,,2.168,,0.679,,2.976,3.699,0.99,0.929,3.353,3.513,0.949,1.091,2.577,2.363,0.851,1.048,
JL190731-002,imp,W,CL,DMO,2.606,,0.71,,2.102,,0.643,,1.869,,0.584,,3.24,3.281,1.337,1.218,2.536,2.544,1.042,0.898,2.529,2.583,0.731,0.736,3.365,3.655,1.11,0.96,3.683,3.919,1.446,1.291,2.757,3.01,1.275,1.145,
JL190731-003,imp,W,CL,DMO,2.11,2.581,0.686,0.857,2.233,2.257,0.655,0.641,1.925,2.19,0.674,0.525,3.062,3.477,1.072,0.851,2.499,2.569,0.961,1.013,2.56,2.734,0.772,0.876,3.46,3.523,1.024,1.137,3.954,4.025,1.145,1.289,2.808,2.954,1.068,1.196,
JL190731-004,bim,W,CL,DMO,2.86,2.924,0.916,0.553,2.521,,0.664,,1.935,,0.59,,3.17,3.058,1.254,1.183,2.906,2.807,1.218,1.127,3.039,2.964,0.907,0.843,3.864,3.867,1.031,1.161,4.215,3.823,1.212,1.196,3.12,3.17,1.135,1.18,
JL190731-005,bim,W,CL,DMO,2.177,,0.779,,2.085,,0.637,,1.78,,0.47,,,2.675,,1.155,2.255,2.554,1.097,0.972,2.658,2.449,0.824,0.707,3.566,3.459,1.058,0.699,3.891,3.792,0.981,0.963,2.474,2.624,0.964,0.808,
JL190806-001,vag,M,DY,PF,2.271,,0.621,,1.778,1.631,0.41,0.596,1.541,1.748,0.388,0.37,2.596,2.626,1.022,0.987,2.277,2.353,0.795,0.816,2.344,2.47,0.506,0.584,3.088,3.082,0.973,1.092,3.457,3.419,0.71,0.907,2.225,2.707,0.595,0.71,
JL190806-002,bim,M,DY,DY,2.494,2.722,0.739,0.711,2.025,2.171,0.529,0.585,2.273,2.674,0.351,0.448,3.224,3.654,1.265,0.96,2.98,2.567,0.71,1.002,3.324,3.19,0.67,0.661,3.844,3.973,1.198,1.071,4.158,4.125,1.152,1.134,3.07,3.02,0.723,0.723,
JL190806-004,bim,W,PF,DMO,2.417,2.207,0.83,0.677,2.114,2.056,0.688,0.674,1.927,1.895,0.51,0.406,2.581,2.982,0.995,0.852,2.525,3.718,0.805,0.717,2.493,2.721,0.773,0.774,3.624,,0.98,,3.92,,1.264,,2.589,,1.103,,
JL190806-005,imp,W,DY,DY,3.388,3.403,0.72,0.682,2.308,2.25,0.783,0.6,1.873,1.937,0.565,0.761,3.076,3.1,1.245,1.284,2.912,2.75,0.848,1.033,2.839,2.844,0.844,0.701,3.557,4.083,1.031,1.291,4.239,4.44,1.351,1.354,2.703,2.689,1.401,1.339,
JL190806-006,imp,W,DY,DY,3.795,3.106,,0.677,,2,,0.585,,1.75,,0.632,2.612,2.526,1.311,0.622,2.517,2.048,0.923,0.544,2.49,1.908,0.696,0.675,2.612,2.526,1.042,1.311,2.377,2.517,0.718,0.923,2.61,2.49,0.718,0.696,
JL190806-007,imp,W,DY,DY,3.775,,0.736,,2.689,,0.78,,2.232,,0.63,,3.321,3.268,1.361,1.071,2.985,3.1,1.069,1.247,2.959,2.681,1.022,0.982,4.058,4.016,1.033,1.158,4.299,4.54,1.499,1.2,3.338,3.084,1.713,1.637,
JL190806-008,bim,W,DY,DY,3.304,3.717,0.764,0.751,1.995,2.181,0.711,0.812,1.926,1.664,0.517,0.591,2.902,3.389,1.357,1.168,2.466,2.889,1.03,1.1,2.435,2.217,0.756,0.654,4.569,3.74,0.908,1.108,3.806,3.726,1.119,1.368,2.435,2.548,1.023,1.109,
JL190809-001,tern,W,DY,PF,1.7,1.788,0.512,0.527,1.226,1.401,0.484,0.407,1.117,1.157,0.398,0.271,2.403,2.063,0.859,0.813,1.591,1.767,0.677,0.607,1.586,1.447,0.359,0.498,2.318,1.986,0.777,0.67,2.555,2.398,0.721,0.542,1.633,1.687,0.438,0.501,
JL190809-002,tern,W,PF,DMO,,,,,,,,,,,,,2.404,2.425,1.059,1.036,2.501,1.995,0.835,0.836,2.196,2.288,0.671,0.627,2.857,3.453,0.992,0.98,3.147,3.364,0.773,0.946,2.297,2.411,0.966,0.953,
JL190809-003,vag,W,DY,DY,2.174,2.096,0.726,0.718,1.608,1.858,0.631,0.683,,,,,2.541,2.78,0.883,1.033,2.332,2.309,0.833,0.827,2.413,2.508,0.832,0.675,3.213,3.013,1.044,0.861,3.53,3.609,1.074,0.957,2.554,2.255,0.938,0.759,
JL190809-004,tern,W,DY,DY,2.209,,0.697,,1.737,1.779,0.585,0.67,1.588,1.493,0.54,0.486,2.38,2.386,1.148,1.138,1.98,2.373,0.856,0.692,2.237,1.97,0.635,0.538,2.882,2.894,0.981,0.965,3.411,3.128,1.028,1.082,1.865,2.171,0.848,0.957,
JL190809-005,vag,W,PF,DMO,2.227,2.178,0.646,0.602,1.991,2.005,0.529,0.562,1.576,1.529,0.412,0.433,2.655,2.889,0.949,0.971,2.33,2.246,0.759,0.826,2.299,2.314,0.493,0.501,,,,,,,,,,,,,
JL190809-005,vag,W,PF,DMO,,,,,,,,,,,,,,,,,,,,,,,,,3.155,3.641,0.925,0.962,3.465,3.596,1.098,1.222,2.269,2.319,0.919,1.028,
JL190809-006,tern,W,DY,PF,1.877,,0.514,,1.522,,0.47,,1.134,,0.361,,1.773,1.888,0.833,0.55,1.859,1.871,0.558,0.723,1.832,1.885,0.472,0.564,2.316,2.447,0.775,0.887,2.8,2.859,0.824,1.015,1.959,1.882,0.689,0.666,
JL190809-007,tern,W,DY,PF,1.942,1.472,0.45,0.448,1.324,1.336,0.398,0.355,1.062,1.035,0.302,0.286,2.373,1.892,0.71,0.786,1.739,1.601,0.499,0.531,1.505,1.391,0.413,0.434,2.041,2.206,0.667,0.6,2.057,2.319,0.793,0.764,1.676,1.665,0.613,0.693,
JL190809-008,tern,W,DY,PF,1.954,1.805,0.523,0.482,1.513,1.5,0.436,0.377,1.224,1.078,0.283,0.285,2.035,2.291,0.79,0.786,1.808,2.016,0.726,0.704,1.995,2.127,0.485,0.36,2.223,2.677,0.773,0.807,2.699,2.813,0.855,0.755,2.227,1.828,0.691,0.599,
JL190809-009,tern,W,DY,PF,1.612,1.643,0.471,0.515,1.338,1.375,0.437,0.39,1.16,1.066,0.398,0.305,2.094,2.156,0.597,0.7,2.383,2.361,0.604,0.89,1.575,1.679,0.442,0.565,2.196,2.244,0.615,0.7,2.451,2.543,0.651,0.854,1.323,1.531,0.417,0.613,
JL190809-010,bim,M,DY,DY,2.348,3.614,1.28,0.936,2.901,2.337,0.84,0.696,2.557,,0.687,,4.521,4.456,1.241,1.335,2.926,3.255,1.41,1.111,3.41,3.58,0.627,0.791,4.926,5.013,1.304,1.314,4.426,4.596,1.464,1.377,3.417,3.113,0.938,1.016,
JL190809-011,bim,M,DY,DY,3.176,3.295,0.88,0.696,2.23,1.993,0.597,0.7,2.553,1.981,0.47,0.543,2.712,,1.283,,2.896,2.109,1.043,1.157,2.98,2.901,0.632,0.828,3.412,4.424,1.178,1.256,4.12,4.223,1.002,0.883,3.015,3.186,0.983,1.03,
JL190809-012,tern,Q,DY,PF,2.378,2.341,0.696,0.712,1.818,1.898,0.539,0.533,1.563,1.435,0.495,0.428,3.3,2.809,1.048,0.997,3.498,2.471,0.897,0.826,2.27,2.201,0.719,0.661,3.153,2.867,0.979,1.053,3.373,2.522,1.013,0.8,2.142,2.314,0.85,0.403,
JL190827-010,bim,W,DY,DY,3.29,,0.846,,2.12,,0.817,,1.878,,0.705,,2.846,3.091,1.187,1.201,2.287,2.395,1.039,1.218,2.54,2.519,0.935,0.856,3.966,4.132,1.135,1.131,3.652,3.606,1.239,1.346,2.256,2.721,1.118,0.944,
JL190905-001,imp,M,DY,DY,2.816,2.5,0.574,0.64,1.955,2.265,0.61,0.67,1.879,1.81,0.437,0.583,3.167,3.22,1.067,1.376,2.813,2.98,0.907,0.852,3.132,3.006,0.509,0.569,4.848,3.963,1.144,0.95,4.083,4.38,1.225,1.097,3.229,2.846,0.774,0.839,
JL190910-001,imp,W,CL,DMO,2.544,,0.816,,2.175,,0.622,,2.081,,0.587,,2.991,3.467,1.218,1.073,2.868,2.921,0.856,1.051,2.777,2.88,0.852,0.851,3.674,,1.257,,3.84,,1.274,,3.109,,1.329,,
JL200920-003,imp,M,DY,DY,2.584,,1.066,,1.896,,0.71,,2.426,2.19,0.681,0.881,3.321,3.268,1.361,1.071,2.985,3.1,1.069,1.247,2.959,2.681,1.022,0.982,3.186,3.345,0.883,1.019,3.585,3.287,1.222,1.361,2.331,2.61,0.908,1.154,
JMS190709-001,vag,W,DY,DY,2.189,2.001,0.651,0.667,1.86,1.637,0.604,0.665,1.393,1.349,0.404,0.354,2.575,2.538,0.944,0.913,2.111,1.991,0.772,0.836,1.87,2.092,0.609,0.717,2.593,2.623,0.896,0.876,2.983,2.868,0.784,0.99,2.067,1.974,0.729,0.802,
LMB190709-001,san,W,CL,DMO,2.237,,0.76,,2.312,,0.741,,1.978,,0.492,,3.084,3.61,1.279,1.282,2.894,2.847,1.22,1.068,3.018,3.044,0.824,0.75,3.853,4.006,0.856,1.309,4.262,4.156,1.479,1.309,3.128,2.84,1.228,1.024,
LMB190715-001,bim,W,CL,DMO,2.355,,0.605,,,,,,,,,,3.367,,1.32,,2.752,,1.075,,2.84,,0.783,,4.11,,1.459,,2.878,,1.238,,,,,,
MM190709-001,vag,W,DY,DY,2.593,2.476,0.896,0.876,2.04,2.205,0.784,0.784,1.935,1.974,0.606,0.477,2.772,2.623,1.163,0.96,2.983,2.868,0.805,0.99,2.067,2.217,0.729,0.802,2.811,,0.93,,2.906,,0.809,,2.035,,0.7,,
MPS180619-011,imp,W,CL,DMO,2.25,2.195,0.594,0.599,1.839,1.693,0.55,0.642,1.436,1.311,0.292,0.344,2.456,2.26,0.999,0.869,2.18,2.285,0.775,0.866,2.028,2.005,0.687,0.692,2.195,,0.75,,2.853,,1.096,,2.035,,0.699,,
MY180615-005,tern,W,CL,DMO,,2.328,,0.623,,1.943,,0.684,,1.612,,0.641,2.471,2.629,1.08,1.051,2.357,2.415,0.989,0.817,1.985,2.118,0.797,0.726,2.948,2.99,0.959,1.029,3.237,3.656,1.037,1.08,2.102,2.263,0.949,1.004,
MY180615-007,terri,W,PF,DMO,2.363,,0.692,,2.175,,0.641,,1.485,,0.514,,3.106,2.793,1.028,1.007,2.819,2.461,0.892,0.814,2.451,2.491,0.518,0.474,3.417,3.341,1.016,1.042,3.781,4.095,0.765,1.249,2.602,2.328,0.943,0.951,
MY180615-013,terri,W,CL,DMO,2.483,,0.65,,1.987,,0.728,,1.725,,0.44,,,2.575,,1.018,2.841,2.67,1.133,0.674,2.444,2.411,0.922,0.727,3.454,3.206,1.122,1,3.634,3.599,1.257,1.316,2.442,2.545,1.097,0.857,
MY180616-004,tern,W,CL,DMO,2.148,2.253,0.571,0.613,1.906,1.783,0.568,0.516,1.295,1.413,0.474,0.433,2.489,2.648,0.848,0.826,2.158,2.112,0.83,0.706,2.03,1.916,0.571,0.705,2.937,2.834,0.936,0.973,3.369,3.041,1.104,1.129,2.012,1.99,0.803,0.846,HIND TIBIA 2 VERY HARY AND HARD TO SEE MARGINS
MY180619-001,vag,W,CL,DMO,,1.911,,0.56,,1.79,,0.583,,1.472,,0.319,2.576,2.705,0.973,0.897,2.105,2.215,0.876,0.698,2.079,2.039,0.507,0.643,2.898,2.617,0.941,0.85,2.651,2.948,1.058,0.931,2.122,2.125,0.685,0.749,
MY180619-005,vag,W,CL,DMO,2.188,2.236,0.639,0.603,1.736,1.841,0.619,0.635,1.537,1.461,0.405,0.383,2.797,,0.936,,2.115,2.084,0.865,0.79,2.158,1.994,0.822,0.735,,,,,,,,,,,,,
MY180622-002,bim,W,CL,DMO,2.374,,0.643,0.546,2.053,1.854,0.491,0.58,1.683,1.497,0.616,0.506,2.849,2.972,1.048,1.102,2.491,3.551,0.975,1.116,2.206,2.031,0.716,1.066,3.219,3.003,1.105,1.12,3.79,3.436,1.23,1.193,1.902,2.204,0.92,0.962,
MY180622-005,tern,W,CL,DMO,2.263,2.232,0.654,0.63,1.797,1.898,0.546,0.554,1.427,1.593,0.325,0.342,,2.868,0.951,1.023,2.186,2.221,0.922,0.894,2.033,2.088,0.622,0.722,2.307,1.546,1.008,0.577,3.103,3.024,1.085,1.077,2.144,2.105,0.966,0.986,HIND FEMURS BROKEN
MY180626-001,vag,W,CL,DMO,1.895,1.739,0.529,0.509,1.609,1.68,0.436,0.514,1.278,1.08,0.327,0.318,2.307,,0.845,,2.04,,0.718,,1.932,,0.591,,2.501,2.565,0.801,0.915,2.564,2.842,0.809,0.812,1.802,1.814,0.602,0.614,
MY180626-001,vag,W,CL,DMO,1.681,1.647,0.568,0.525,1.678,1.719,0.534,0.485,1.435,1.319,0.51,0.544,,,,,,,,,,,,,2.145,,0.802,,2.783,,1.09,,1.964,,0.736,,
MY180626-002,tern,W,CL,DMO,,2.021,,0.554,,1.77,,0.599,,1.456,,0.515,2.303,2.219,0.915,0.848,2.038,2.004,0.802,0.673,1.902,2.039,0.568,0.654,2.738,3.342,1.011,0.813,2.815,3.218,1.223,1.065,1.935,1.956,0.693,0.791,
MY180626-003,vag,Q,CL,DMO,2.389,,0.634,,2.129,1.903,0.98,0.917,1.383,1.386,0.595,0.448,2.754,2.845,0.931,1.075,2.227,2.381,0.685,0.458,1.448,1.729,0.631,0.782,2.27,2.399,0.999,1.073,2.394,2.376,0.935,1.001,1.851,1.759,0.763,0.944,
MY180626-006,tern,W,CL,DMO,2.131,2.104,0.673,0.689,1.656,1.591,0.556,0.516,1.449,1.295,0.417,0.38,,,,,2.094,1.89,0.834,0.871,1.848,1.849,0.588,0.673,2.671,2.281,1.111,0.823,2.245,2.964,1.01,1.059,1.983,1.963,0.915,0.982,
MY180626-008,vag,W,CL,DMO,2.161,2.332,0.592,0.599,1.925,1.693,0.395,0.534,1.602,,0.308,,3.037,2.955,1.269,1.21,2.521,2.691,0.76,0.76,2.698,2.407,0.545,0.49,3.388,,0.923,,3.686,3.726,0.897,0.942,2.704,2.855,0.492,0.772,
MY180629-001,vag,W,PF,DMO,2.313,,1.041,,1.99,,0.651,,1.566,,0.589,,2.879,2.866,1.099,0.992,2.31,2.312,0.866,0.9,2.275,2.251,0.602,0.529,3.496,3.917,1.114,0.965,3.545,3.172,1.434,0.473,2.514,2.654,0.763,0.802,
MY180629-002,vag,W,PF,DMO,,,,,,,,,,,,,2.487,2.142,0.835,0.879,2.054,1.871,0.711,0.671,1.974,2.075,0.425,0.366,2.596,2.66,0.74,0.667,2.926,2.856,0.818,0.569,1.935,1.941,0.64,0.497,
MY180629-003,vag,W,DY,DY,1.825,2.174,0.583,0.509,1.437,1.653,0.631,0.603,1.448,1.342,0.408,0.468,2.355,,0.86,,2.3,,0.807,,1.98,,0.653,,2.583,2.551,0.847,0.833,2.872,2.666,0.935,0.936,1.922,1.954,0.927,0.645,
MY180703-002,terri,W,PF,DMO,2.641,2.801,0.646,0.844,2.337,2.241,0.579,0.671,1.909,1.868,0.528,0.378,2.987,2.859,1.125,0.991,2.457,2.507,0.887,0.769,2.382,2.395,0.698,0.575,,,,,,,,,,,,,
MY180703-003,terri,W,DY,PF,2.209,2.223,0.591,0.63,1.862,1.654,0.56,0.622,1.456,1.467,0.432,0.438,2.741,2.656,0.942,0.93,2.081,2.389,0.802,0.803,2.076,2.16,0.5,0.571,2.723,2.853,0.83,0.918,3.647,3.427,1.067,1.137,2.249,2.406,0.668,0.866,
MY180703-004,terri,W,PF,DMO,,,,,,,,,,,,,3.059,3.665,1.1,1.155,2.577,2.949,0.84,0.849,2.591,2.717,0.521,0.648,3.611,3.633,1.17,1.028,3.977,4.137,0.922,1.278,2.816,2.425,1.002,1.153,
MY180703-005,terri,W,PF,DMO,2.557,2.492,0.644,0.869,2.045,2.152,0.56,0.57,1.817,1.695,0.51,0.55,3.339,,1.157,,2.69,,0.876,,2.398,,0.503,,3.651,3.737,1.241,1.283,4.077,4.006,0.928,1.052,2.555,2.466,0.823,0.894,
MY180703-007,imp,W,CL,DMO,2.626,2.627,0.804,0.792,2.094,1.858,0.625,0.738,1.609,1.821,0.456,0.652,3.159,3.374,1.162,1.247,2.892,2.271,1.068,0.9,2.627,2.68,0.748,0.855,3.269,,1.047,,3.794,2.971,0.895,0.92,2.67,3.22,0.651,0.975,
MY180719-003,imp,W,CL,DMO,2.526,,0.684,,2.037,1.923,0.694,0.748,1.514,1.726,0.606,0.432,2.985,3.108,0.934,1.083,2.569,2.52,0.845,0.908,2.542,2.347,0.763,0.722,3.307,3.315,0.998,1.043,3.608,3.578,1.436,1.161,2.309,2.369,0.889,0.91,
MY180731-001,vag,W,DY,DY,,2.144,,0.567,1.656,1.553,0.597,0.554,1.527,1.831,0.404,0.448,2.343,3.198,0.974,0.816,2.042,2.099,0.791,0.702,2.137,2.139,0.591,0.627,2.743,2.723,0.992,0.85,3.102,3.133,1.219,1.023,1.91,2.22,0.925,0.849,
MY180731-003,vag,W,CL,DMO,2.485,2.59,0.747,0.643,1.912,2.202,0.492,0.659,1.758,1.548,0.401,0.394,2.992,2.355,1.152,1.071,2.664,2.418,0.909,0.929,2.45,2.535,0.801,0.792,,4.119,,1.061,3.897,3.729,1.446,1.019,2.474,2.266,1.101,0.93,
MY180802-001,vag,W,DY,DY,2.193,2.52,0.7,0.67,1.619,1.802,0.569,0.587,1.768,1.545,0.49,0.545,2.678,2.724,1.028,0.848,2.07,2.317,1.033,0.99,2.148,2.179,0.545,0.682,2.953,3.242,0.823,0.865,3.354,3.348,0.979,1.305,2.177,2.005,0.708,0.935,
MY180802-002,bor,W,CL,DMO,3.303,3.211,0.898,0.872,2.773,2.547,0.796,0.775,2.01,1.959,0.558,0.486,3.886,3.981,1.467,1.433,3.17,3.028,1.332,0.854,3.127,3.24,1.141,1.013,4.349,4.604,1.703,1.389,4.551,4.771,1.512,1.455,3.113,3.1,1.269,1.21,
MY180814-009,vag,W,PF,DMO,2.41,,0.695,,2.019,,0.545,,1.562,,0.401,,2.753,,0.952,,2.561,,0.762,,2.297,,0.454,,3.079,,0.938,,3.644,,0.965,,2.292,,0.712,,
MY180814-010,vag,W,CL,DMO,2.4,2.235,0.653,0.692,2.068,2.18,0.627,0.545,1.697,1.645,0.483,0.48,2.958,,1.144,,2.504,,1.073,,2.352,,0.705,,3.013,,0.856,,3.663,,1.081,,2.483,,1.037,,
MY190620-008,vag,M,DY,DY,2.936,2.786,0.589,0.578,2.156,1.916,0.531,0.627,1.677,1.599,0.413,0.351,3.1,2.716,1.049,0.874,2.438,2.341,0.827,0.74,2.539,2.898,0.547,0.427,3.156,3.112,0.91,0.913,3.557,3.46,0.857,0.88,2.75,2.626,0.764,0.784,
MY190709-001,vag,W,CL,DMO,2.082,1.855,0.564,0.657,1.78,1.781,0.537,0.443,1.363,1.315,0.403,0.358,2.183,2.486,0.931,0.861,2.178,1.979,0.761,0.751,1.917,2.018,0.628,0.582,2.767,2.779,0.886,0.748,2.7,3.129,0.94,0.891,2.069,2.029,0.65,0.666,
PF190709-001,vag,W,CL,DMO,2.463,,0.613,,1.877,,0.608,,1.659,,0.548,,2.763,2.84,1.079,1.007,2.564,2.57,0.812,0.725,2.514,2.489,0.526,0.575,,3.075,,1.015,3.889,3.754,0.803,1.11,2.459,2.5,0.684,0.963,
PF190709-002,vag,W,CL,DMO,1.944,2.133,0.508,0.641,1.775,1.72,0.641,0.581,1.508,1.526,0.436,0.485,2.302,2.21,0.906,0.932,1.824,2.143,0.848,0.836,2.105,2.013,0.632,0.62,2.69,,0.881,,3.05,2.843,0.944,1.017,1.944,2.03,0.703,0.874,
PF190709-003,rufo,W,CL,DMO,1.862,,0.605,,1.838,,0.562,,1.435,,0.409,,2.187,2.786,1.013,1.041,2.183,2.131,0.839,0.712,2.164,2.06,0.641,0.631,2.42,2.831,0.923,0.93,2.89,2.611,1.041,0.99,2.431,2.316,0.881,0.697,
PF190709-005,imp,W,CL,DMO,1.967,2.105,0.647,0.67,2.055,2.117,0.728,0.44,1.681,1.678,0.471,0.443,,2.797,,1.197,,2.699,,0.77,,2.449,,0.753,3.62,3.023,0.986,0.899,3.882,3.812,1.182,1.109,2.486,2.335,0.948,0.682,
PF190709-007,vag,W,CL,DMO,,2.565,,0.733,,2.197,,0.529,,1.662,,0.436,2.503,3.373,1.184,1.166,2.735,2.476,0.965,1.113,2.557,2.602,0.896,0.815,2.892,,0.952,,3.945,3.687,1.405,1.398,2.436,2.574,1.285,1.156,
PF190709-008,bim,W,DY,DY,2.645,,0.836,,2.104,,0.613,,1.91,,0.591,,3.352,,1.337,,2.589,,1.015,,2.764,,0.808,,3.391,2.594,1.328,1.137,3.675,4.267,1.514,1.122,2.85,2.73,1.34,1.122,
PF190709-009,bim,W,CL,DMO,2.034,1.904,0.561,0.724,1.966,1.902,0.652,0.721,,,,,2.597,3.186,1.117,1.125,2.389,2.611,1.062,0.96,2.662,2.609,0.75,0.625,3.142,3.918,1.104,1.037,3.383,3.399,1.131,1.088,2.309,2.439,1.015,0.885,
PF190718-001,vag,W,CL,DMO,,,,,,,,,,,,,2.515,2.72,1.008,0.851,2.45,2.371,0.802,1.042,2.193,2.014,0.736,0.762,,,,,3.359,3.026,1.191,1.064,2.033,1.93,0.988,0.943,Very hariy legs. Hard to see clear edges.
PF190724-001,bim,W,DY,DY,3.2,,0.87,,2.385,,0.823,,2.231,3.256,0.682,1.049,3.762,,1.476,,2.874,,1.47,,3.229,,1.051,,5,3.905,1.372,1.42,4.719,4.523,1.522,1.033,3.123,3.303,1.283,1.155,
PF190724-001,vag,W,DY,DY,,,,,,,,,,,,,2.577,2.233,0.926,0.894,2.406,2.158,0.8,0.853,2.074,2.19,0.564,0.683,2.872,2.681,0.818,0.769,2.773,3.111,0.919,1.055,2.069,2.055,0.839,0.769,
PF190724-002,imp,W,CL,DMO,2.577,2.522,0.736,0.767,2.303,2.012,0.763,0.718,1.932,1.908,0.679,0.606,3.491,3.386,1.203,1.328,2.837,3.057,0.892,0.892,3.077,2.898,0.738,0.831,3.674,3.967,1.034,1.223,4.064,4.19,1.042,1.254,2.848,2.876,0.825,1.176,
PF190724-003,imp,W,CL,DMO,,2.544,,0.621,2.334,2.207,0.652,0.526,1.804,1.914,0.578,0.598,3.134,3.084,1.183,1.119,2.695,2.84,0.904,0.996,2.294,2.893,0.923,0.855,3.686,4.136,1.033,1.309,4.311,4.434,1.296,1.367,3.055,2.986,0.946,1.223,
PF190724-004,imp,W,CL,DMO,2.503,2.485,0.697,0.702,2.044,2.05,0.637,0.611,1.786,1.68,0.406,0.427,2.801,2.862,1.012,0.959,2.513,2.532,0.884,0.839,2.284,2.212,0.631,0.73,3.814,3.04,1.068,1.006,3.803,3.671,1.188,1.354,2.476,2.523,1.13,1.276,
