specimen.id,species,caste,digitizer,its.mm,body.length.mm,scale,x,y,notes
FJ190827-007,borealis,W,JL,5.575438361,19.27320567,142.235,1560.667,391,
,,,,,,,1714,509.667,
,,,,,,,1704.667,527,
,,,,,,,1552.667,524.333,
,,,,,,,1364.667,499,
,,,,,,,1314,555,
FJ190827-008,impatiens,W,JL,,,142.692,1577,585.333,
,,,,,,,1723.667,677.333,
,,,,,,,1707.667,694.667,
,,,,,,,1590.333,686.667,
,,,,,,,1402.333,669.333,
,,,,,,,1369,713.333,
FJ190827-009,borealis,W,JL,4.507204068,19.80118863,205.372,1770,321.333,its.large.tilt
,,,,,,,1974,488,
,,,,,,,1951.333,516,
,,,,,,,1768.667,506.667,
,,,,,,,1499.333,454.667,
,,,,,,,1420.667,516,
FJ190827-010,bimaculatus,W,JL,4.200724173,17.66625291,202.815,1609.667,454,its.large.tilt
,,,,,,,1832.333,552.667,
,,,,,,,1820.333,578,
,,,,,,,1652.333,599.333,
,,,,,,,1408.333,611.333,
,,,,,,,1360.333,670,
FJ190827-011,vagans,W,JL,4.612574824,,202.364,1638,256,I think this is supposed to be FJ190827-001
,,,,,,,1858,401.333,
,,,,,,,1842,424,
,,,,,,,1655.333,409.333,
,,,,,,,1388.667,369.333,
,,,,,,,1342,432,
FJ190827-012,bimaculatus,Q,JL,6.445223921,24.20318254,201.508,840,613.667,originally identified as sandersoni WQ
,,,,,,,1141.333,692.333,
,,,,,,,1136,735,
,,,,,,,900,800.333,
,,,,,,,594.667,873.667,
,,,,,,,544,971,
FJ190827-013,bimaculatus,W,JL,4.782808139,21.40412673,142.206,1613,268,its.large.tilt
,,,,,,,1799,347,
,,,,,,,1789,367,
,,,,,,,1639,386,
,,,,,,,1469,396,
,,,,,,,1431,449,
FJ190827-014,impatiens,W,JL,4.803630532,17.5074865,202.241,1585.333,252,
,,,,,,,1796,340,
,,,,,,,1785.333,366.667,
,,,,,,,1642.667,385.333,
,,,,,,,1360,400,
,,,,,,,1328,452,
FJ190827-015,impatiens,W,JL,4.490442507,18.87172524,206.212,1616,294,
,,,,,,,1817.333,427.333,
,,,,,,,1796,451.333,
,,,,,,,1629.333,435.333,
,,,,,,,1374.667,402,
,,,,,,,1328,455.333,
FJ190827-016,impatiens,W,JL,,,200.955,1857.333,1364,
,,,,,,,2061.333,1462.667,
,,,,,,,2046.667,1489.333,
,,,,,,,1890.667,1498.667,
,,,,,,,1638.667,1504,
,,,,,,,1605.333,1552,
FJ190827-017a,borealis,W,JL,4.890660793,21.75525835,140.91,1710,595,
,,,,,,,1868.667,675,
,,,,,,,1860.667,695,
,,,,,,,1743.333,713.667,
,,,,,,,1544.667,713.667,
,,,,,,,1512.667,763,
FJ190827-017b,ternarius,W,JL,4.135707709,17.09948063,204.459,1540,335,its.slight.tilt
,,,,,,,1737,442,
,,,,,,,1721,468,
,,,,,,,1559,475,
,,,,,,,1335,468,
,,,,,,,1291,531,
FJ190827-018,ternarius,W,JL,4.501412065,18.26159722,202.803,1693,560,
,,,,,,,1876,687,
,,,,,,,1863,706,
,,,,,,,1697,686,
,,,,,,,1458,640,
,,,,,,,1417,691,
FJ190827-019,ternarius,W,JL,4.249313281,18.31611267,200.003,1624.667,390,its.large.tilt
,,,,,,,1816.667,507.333,
,,,,,,,1796.667,523.333,
,,,,,,,1636.667,523.333,
,,,,,,,1418,507.333,
,,,,,,,1375.333,562,
FJ190828-001,impatiens,W,JL,4.866912519,19.48272836,141.727,1386,283,
,,,,,,,1544,359,
,,,,,,,1529,377,
,,,,,,,1419,389,
,,,,,,,1235,390,
,,,,,,,1207,436,
FJ190828-002,impatiens,W,JL,5.389249607,22.81881376,141.926,1339,571,
,,,,,,,1518,654,
,,,,,,,1506,672,
,,,,,,,1376,681,
,,,,,,,1164,686,
,,,,,,,1131,734,
FJ190828-003,impatiens,W,JL,5.532358258,16.20993943,141.725,1532,538,no.head
,,,,,,,1686,648,
,,,,,,,1671,668,
,,,,,,,1547,658,
,,,,,,,1330,630,
,,,,,,,1295,675,
FJ190828-004,bimaculatus,M,JL,4.487515904,19.22226151,142.294,1586.667,516,
,,,,,,,1766.667,602.667,
,,,,,,,1757.333,628,
,,,,,,,1598.667,624,
,,,,,,,1408,624,
,,,,,,,1365.333,672,
FJ190905-001,impatiens,W,JL,4.196425404,17.53816241,142.387,749.667,257,its.large.tilt
,,,,,,,885.667,294.333,
,,,,,,,882.333,311.667,
,,,,,,,791.667,337,
,,,,,,,621.667,373.667,
,,,,,,,609,411.667,
FJ190905-002,impatiens,W,JL,4.917309987,19.5921662,142.59,1072.333,234.333,its.large.tilt
,,,,,,,1243.667,320.333,
,,,,,,,1230.333,342.333,
,,,,,,,1095.667,347,
,,,,,,,902.333,345.667,
,,,,,,,869.667,393,
FJ190905-003,impatiens,W,JL,4.87118124,16.60867261,141.701,678,566,
,,,,,,,814,651,
,,,,,,,798,671,
,,,,,,,694,663,
,,,,,,,514,649,
,,,,,,,488,687,
JL190718-001,vagans,M,JL,,,141.413,1354,1735,
,,,,,,,1496,1812,
,,,,,,,1481,1834,
,,,,,,,1373,1834,
,,,,,,,1202,1822,
,,,,,,,1177,1867,
JL190718-002,vagans,M,JL,4.11147479,17.04919894,140.246,1478,548,its.large.tilt
,,,,,,,1638,602,
,,,,,,,1628,622,
,,,,,,,1518,641,
,,,,,,,1343,650,
,,,,,,,1322,698,
JL190724-001,terricola,W,JL,4.903914796,17.44882568,142.285,1563,553,its.slight.tilt
,,,,,,,1724,651,
,,,,,,,1712,670,
,,,,,,,1598,669,
,,,,,,,1397,649,
,,,,,,,1363,690,
JL190724-002,ternarius,W,JL,4.415349985,15.25223119,142.134,1407.667,599,
,,,,,,,1548.333,660.333,
,,,,,,,1538.333,678.333,
,,,,,,,1429.667,685,
,,,,,,,1259.667,690.333,
,,,,,,,1237.667,724.333,
JL190724-003,bimaculatus,W,JL,4.656837245,18.39210125,141.645,1601,346,its.slight.tilt
,,,,,,,1759,433,
,,,,,,,1749,453,
,,,,,,,1619,453,
,,,,,,,1446,448,
,,,,,,,1407,494,
JL190724-005,ternarius,W,JL,3.351557083,15.71945997,142.814,1470.667,710,its.slight.tilt
,,,,,,,1592,778.667,
,,,,,,,1583.333,795.333,
,,,,,,,1484.667,799.333,
,,,,,,,1336.667,794,
,,,,,,,1314.667,832,
JL190731-001,impatiens,W,JL,4.298111229,16.7998471,142.949,1464.333,659.333,
,,,,,,,1595.667,706,
,,,,,,,1588.333,724.667,
,,,,,,,1497.667,746,
,,,,,,,1333,762.667,
,,,,,,,1314.333,798.667,
JL190731-002,impatiens,W,JL,4.932885126,18.3215283,141.98,1352,505,its.slight.tilt
,,,,,,,1504,577.667,
,,,,,,,1489.333,598.333,
,,,,,,,1376.667,604.333,
,,,,,,,1194,606.333,
,,,,,,,1165.333,647.667,
JL190731-003,impatiens,W,JL,5.027524562,19.64001842,140.797,1652,528,
,,,,,,,1791,623,
,,,,,,,1778,643,
,,,,,,,1666,636,
,,,,,,,1476,614,
,,,,,,,1446,653,
JL190731-004,bimaculatus,W,JL,5.139403872,19.41253755,141.007,1710,499,
,,,,,,,1878,606,
,,,,,,,1864,627,
,,,,,,,1718,621,
,,,,,,,1528,603,
,,,,,,,1477,647,
JL190731-005,bimaculatus,W,JL,4.69335712,18.36235198,141.802,1545,430,its.slight.tilt
,,,,,,,1689,517,
,,,,,,,1680,537,
,,,,,,,1546,532,
,,,,,,,1394,523,
,,,,,,,1356,566,
JL190806-001,vagans,M,JL,5.056621985,18.82433467,201.134,1698.667,520.667,its.large.tilt
,,,,,,,1940,674,
,,,,,,,1921.333,714,
,,,,,,,1702.667,703.333,
,,,,,,,1429.333,679.333,
,,,,,,,1356,747.333,
JL190806-002,bimaculatus,M,JL,4.673709611,19.66323553,203.376,1673,1208,its.large.tilt
,,,,,,,1883,1393,
,,,,,,,1856,1426,
,,,,,,,1635,1383,
,,,,,,,1349,1318,
,,,,,,,1272,1385,
JL190806-004,bimaculatus,W,JL,4.29729749,19.26684913,140.778,1754,618.667,its.slight.tilt
,,,,,,,1919.333,712,
,,,,,,,1908.667,733.333,
,,,,,,,1782,732,
,,,,,,,1604.667,726.667,
,,,,,,,1564.667,769.333,
JL190806-005,impatiens,W,JL,4.923625398,21.44368434,200.416,1605,494,
,,,,,,,1829,620.667,
,,,,,,,1806.333,652.667,
,,,,,,,1625,654,
,,,,,,,1341,636.667,
,,,,,,,1290.333,700.667,
JL190806-006,impatiens,W,JL,4.263278627,17.70661531,199.714,1544,221,its.slight.tilt
,,,,,,,1737,331,
,,,,,,,1721,352,
,,,,,,,1572,353,
,,,,,,,1316,346,
,,,,,,,1279,402,
JL190806-007,impatiens,W,JL,,21.90720772,142.082,1497.667,509.333,
,,,,,,,1665.667,610.667,
,,,,,,,1648.333,630.667,
,,,,,,,1527,629.333,
,,,,,,,1311,616,
,,,,,,,1271,664,
JL190806-008,bimaculatus,W,JL,4.767115413,19.69058664,140.358,1528,568,its.large.tilt
,,,,,,,1683,673,
,,,,,,,1665,693,
,,,,,,,1537,683,
,,,,,,,1357,656,
,,,,,,,1319,703,
JL190809-001,ternarius,W,JL,3.54655647,14.08792134,204.577,1526,424,
,,,,,,,1693,515,
,,,,,,,1680,541,
,,,,,,,1541,543,
,,,,,,,1342,528,
,,,,,,,1317,579,
JL190809-002,ternarius,W,JL,4.209076117,15.9287183,204.691,1620,482,its.large.tilt
,,,,,,,1786,598,
,,,,,,,1765,620,
,,,,,,,1614,609,
,,,,,,,1414,583,
,,,,,,,1373,632,
JL190809-003,vagans,W,JL,4.315078897,15.85790281,143.246,1545.667,466.667,
,,,,,,,1676.333,528,
,,,,,,,1667,544,
,,,,,,,1573.667,546.667,
,,,,,,,1417,544.667,
,,,,,,,1399,578,
JL190809-004,ternarius,W,JL,3.717006783,15.09278439,207.713,1609,410.667,
,,,,,,,1785,518.667,
,,,,,,,1769,545.333,
,,,,,,,1614.333,540,
,,,,,,,1401,508,
,,,,,,,1359.667,561.333,
JL190809-005,vagans,W,JL,3.885068939,17.07764016,205.677,1538,520,
,,,,,,,1719,642,
,,,,,,,1705,669,
,,,,,,,1548,658,
,,,,,,,1304,618,
,,,,,,,1265,671,
JL190809-006,ternarius,W,JL,3.891659445,17.38042159,203.671,1557,326,its.slight.tilt
,,,,,,,1733,438,
,,,,,,,1715,457,
,,,,,,,1569,448,
,,,,,,,1339,427,
,,,,,,,1297,474,
JL190809-007,ternarius,W,JL,3.397214956,13.43358148,202.04,1528,567,
,,,,,,,1679,662,
,,,,,,,1669,681,
,,,,,,,1550,680,
,,,,,,,1357,661,
,,,,,,,1330,702,
JL190809-008,ternarius,M,JL,3.945246713,16.84058855,164.005,1469,547,
,,,,,,,1618,648,
,,,,,,,1606,668,
,,,,,,,1473,656,
,,,,,,,1270,635,
,,,,,,,1235,680,
JL190809-009,ternarius,W,JL,3.610104939,14.12477684,141.882,1459.333,646.333,
,,,,,,,1572.667,717,
,,,,,,,1564,732.333,
,,,,,,,1464,727,
,,,,,,,1332.667,709.667,
,,,,,,,1310,740.333,
JL190809-010,bimaculatus,M,JL,5.01314563,20.07464039,142.106,1398,326,
,,,,,,,1567,441,
,,,,,,,1553,460,
,,,,,,,1408,447,
,,,,,,,1200,420,
,,,,,,,1153,470,
JL190809-011,bimaculatus,M,JL,4.488673021,18.51171533,200.043,1662,348,its.slight.tilt
,,,,,,,1906,484,
,,,,,,,1886,521.333,
,,,,,,,1682,521.333,
,,,,,,,1412.667,512,
,,,,,,,1350,580,
JL190905-001,impatiens,M,JL,4.775980142,18.74059484,141.004,1724,1578,its.slight.tilt
,,,,,,,1901,1661,
,,,,,,,1886,1686,
,,,,,,,1743,1699,
,,,,,,,1544,1704,
,,,,,,,1508,1760,
JL190910-001,impatiens,W,JL,5.015294985,19.53839602,141.356,1569,662,
,,,,,,,1730,737,
,,,,,,,1717,757,
,,,,,,,1601,767,
,,,,,,,1411,769,
,,,,,,,1387,813,
PF190718-001,vagans,W,JL,4.130249978,16.25547884,142.504,1498.333,413.333,its.large.tilt
,,,,,,,1633,494.667,
,,,,,,,1618.333,514,
,,,,,,,1509,511.333,
,,,,,,,1350.333,486.667,
,,,,,,,1327,526.667,
PF190724-004,impatiens,W,JL,4.091251686,16.1651207,142.359,1668,609,
,,,,,,,1808,683,
,,,,,,,1797,701,
,,,,,,,1698,706,
,,,,,,,1512,703,
,,,,,,,1487,740,
PF190724-005,ternarius,W,JL,3.389529687,15.43645773,142.867,1535,647,its.slight.tilt
,,,,,,,1631.667,729.667,
,,,,,,,1621,742.333,
,,,,,,,1525,730.333,
,,,,,,,1393,702.333,
,,,,,,,1368.333,732.333,
PF190724-008,bimaculatus,W,JL,4.140592247,18.39663476,141.007,1408,529,its.large.tilt
,,,,,,,1545,620,
,,,,,,,1532,639,
,,,,,,,1415,630,
,,,,,,,1263,611,
,,,,,,,1223,644,
RGA190718-001,ternarius,W,JL,3.600008825,16.80833065,141.424,1528,715.667,its.large.tilt
,,,,,,,1640,788.333,
,,,,,,,1630.667,806.333,
,,,,,,,1538.667,806.333,
,,,,,,,1395.333,790.333,
,,,,,,,1373.333,819.667,
TJ190529-001,impatiens,W,JL,7.423638316,33.81195541,142.61,1668,537,
,,,,,,,1915,630,
,,,,,,,1894,672,
,,,,,,,1686,699,
,,,,,,,1416,715,
,,,,,,,1378,791,
DRA190715-001,bimaculatus,W,JL,4.581564674,19.03151879,141.358,1191.667,643.333,its.large.tilt
,,,,,,,1329,752,
,,,,,,,1316.333,770.667,
,,,,,,,1185.667,747.333,
,,,,,,,1019.667,714.667,
,,,,,,,969.667,753.333,
MY180615-005,ternarius,W,JL,3.760309312,15.75413418,140.295,908.333,775,its.large.tilt
,,,,,,,1038.333,837,
,,,,,,,1027.667,855,
,,,,,,,919.667,863.667,
,,,,,,,767,863,
,,,,,,,746.333,905.667,
MY180615-006,terricola,W,JL,4.647747965,18.93712509,141.843,1071,534,its.slight.tilt
,,,,,,,1228.333,648.667,
,,,,,,,1214.333,661.333,
,,,,,,,1099,646.667,
,,,,,,,901.667,612,
,,,,,,,867.667,652,
MY180615-009,bimaculatus,W,JL,4.396254511,19.45507154,141.116,996,468,its.slight.tilt
,,,,,,,1126,566,
,,,,,,,1114.667,583.333,
,,,,,,,990,570.667,
,,,,,,,842,544,
,,,,,,,806,583.333,
