specimen.id,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,digitizer,species.det,provisional.species,caste,its,body.length,scale,name,description
OW220720-008,3.095458611,0.714980093,6.781310597,0.263156987,0.099005329,3.239676593,0.416130182,0.839596179,0.228272095,0.122364813,3.197027265,0.29424844,4.147144315,0.667428797,0.642617447,DRA,griseocollis,griseocollis,M,6.243187335,19.2795945,177.40631,m01,Mentum length
OW220720-009,3.028983408,0.74270535,6.342626623,0.237909296,0.104694617,2.976030422,0.364420124,0.820236673,0.164399001,NA,2.042826954,0.349673136,3.908963719,0.566770632,0.542169549,DRA,griseocollis,griseocollis,M,6.109593041,16.12650264,277.41665,m01,Mentum length
OW220720-010,3.533387371,0.776759873,6.521836302,0.26533642,0.180355362,3.161120804,0.242496191,0.844120329,0.148831498,NA,2.829562865,0.335376932,3.916172033,0.66104976,0.526146073,DRA,griseocollis,griseocollis,M,5.035861117,21.70947448,236.68545,m01,Mentum length
OW220720-011,2.883244537,0.736193467,5.330303984,0.272252477,0.132746312,2.259025223,0.29201298,0.926517395,0.197750925,0.180255424,2.606774176,0.201273912,2.92902737,0.632101833,0.57099767,DRA,terricola,terricola,W,4.438924796,14.71285705,176.91806,m01,Mentum length
OW220720-012,2.499861542,0.789652021,4.810325067,0.260656553,0.106073155,1.92693708,0.321534015,0.729814633,0.182424015,0.356023365,2.449180599,0.402142861,2.48899689,0.620777261,0.540478865,DRA,terricola,terricola,W,4.926777836,17.20713042,304.02631,m01,Mentum length
OW220720-016,2.825820502,1.104966758,4.419559414,0.2299857,0.051356829,2.531864677,0.184609073,0.846964622,0.177220925,NA,2.136459353,0.332961453,3.441375786,0.588942902,0.454412585,DRA,ternarius,ternarius,W,3.876460917,14.16990423,264.4844,m01,Mentum length
FJ190715-001,2.768280479,0.835901916,4.523987702,0.257250837,0.1106469,2.654134099,0.449628942,1.041999991,0.253468734,0.414343638,2.954917454,0.297925963,4.159928015,0.791144789,0.606653699,DRA,bimaculatus,bimaculatus,M,4.656952577,20.75715032,218.241,m01,Mentum length
FJ190710-002,2.802478047,1.150604116,4.872972866,0.271353867,0.113256661,2.934376046,0.479402371,1.084799976,0.225644497,0.407413691,2.99692282,0.401928508,4.319967517,0.856778972,0.62339642,DRA,bimaculatus,bimaculatus,M,5.228237026,18.74399042,212.724,m01,Mentum length
FJ190814-001,2.618240651,0.86088234,4.613533598,0.218137678,0.102351051,3.146768894,0.43724396,1.003815429,0.168658447,0.423434005,3.312444979,0.343002404,4.245781581,0.822196853,0.588099165,DRA,bimaculatus,bimaculatus,M,4.877006377,19.97131267,210.055,m01,Mentum length
FJ190627-005,2.146175647,0.912316169,3.469688948,0.226694762,0.117881297,2.373077257,0.342001169,0.787854792,0.238622491,0.141578895,2.67867649,0.253005977,3.117849943,0.692069081,0.491504334,DRA,impatiens,impatiens,W,4.201,16.837,155.96011,m01,Mentum length
FJ190705-001,2.404227437,0.947615098,4.126824625,0.255162895,0.046184436,2.838634926,0.403611979,0.981894947,0.282261183,0.348537272,2.59867643,0.367439503,NA,0.706486301,0.58720619,DRA,bimaculatus,bimaculatus,W,4.158,19.511,245.81701,m01,Mentum length
