specimen.ID,digitizer,species.det,provisional.species,caste,ITS,body.length,scale,name,description,value
DRA220717-001,DRA,borealis,borealis,W,5.872149618,25.44993772,178.98479,m01,Mentum length,715.79327
,,,,,,,177.57878,m02,Mentum width,163.2299
,,,,,ITS pixels,BL pixels,187.14225,m03,Glossa length,1548.85265
,,,,,1024.50769,4440.22353,,m04,"Glossa width, at mid-point",64
,,,,,,,,m05,Flabellum length,22.80351
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,764.35855
,,,,,,168.76018,,m07,Labial palpomere 1 width,96.20811
,,,,,,180.17769,,m08,Labial palpomere 2 length,214.00935
,,,,,,,,m09,Labial palpomere 2 width,49.67897
,,,,,,,,m10,Distal labial palpomeres length,92.47702
,,,,,,,,m11,Stipes length,757.91556
,,,,,,,,m12,Maxillary palp length,52.80152
,,,,,,,,m13,Galea length,951.59465
,,,,,,,,m14,Galea width,108.46197
,,,,,,,,m15,"Stipes width, across from palp",71.61006
OW220614-015,DRA,griseocollis,griseocollis,W,4.496612614,15.50736438,327.12383,m01,Mentum length,712.18256
,,,,,,,324.12498,m02,Mentum width,246.60292
,,,,,ITS pixels,BL pixels,318.12733,m03,Glossa length,1356.25153
,,,,,791.40382,2687.94316,327.01376,m04,"Glossa width, at mid-point",82.21922
,,,,,,,,m05,Flabellum length,29.12044
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,737.22181
,,,,,164,172,,m07,Labial palpomere 1 width,93.68031
,,,,,180,184,,m08,Labial palpomere 2 length,173.67786
,,,,,184,164,,m09,Labial palpomere 2 width,66.21178
,,,,,,,,m10,Distal labial palpomeres length,80.04998
,,,,,,,,m11,Stipes length,766.87678
,,,,,,,,m12,Maxillary palp length,190.96597
,,,,,,,,m13,Galea length,856.98308
,,,,,,,,m14,Galea width,168.40428
,,,,,,,,m15,"Stipes width, across from palp",98.50888
OW220614-018,DRA,ternarius,ternarius,Q,6.105281139,24.58197832,228.87551,m01,Mentum length,818.50596
,,,,,,,236.30489,m02,Mentum width,224.5707
,,,,,ITS pixels,BL pixels,244.52403,m03,Glossa length,1285.85152
,,,,,1005.39346,4048.0626,236.30489,m04,"Glossa width, at mid-point",50.35871
,,,,,,,,m05,Flabellum length,37.33631
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,732.73733
,,,,,,160.04999,,m07,Labial palpomere 1 width,118.06778
,,,,,,162.11107,,m08,Labial palpomere 2 length,248.07257
,,,,,,172.10462,,m09,Labial palpomere 2 width,56.14268
