specimen_id,species,caste,investigator,LM,scale,measurement,scale1,body,scale2,its,notes
,,,,12,,91.449,,,,,
,,,,13,,938.231,,,,,
,,,,14,,187.11,,,,,
,,,,15,,131.015,,,,,
DRA190709-008,vag,W,JL,1,308.982,698.355,68.843,1247.938,69.087,280.179,
,,,,2,,202.121,,,,,
,,,,3,,971.819,,,,,
,,,,4,,70.349,,,,,
,,,,5,,31.257,,,,,
,,,,6,,603.566,,,,,
,,,,7,,111.234,,,,,
,,,,8,,233.39,,,,,
,,,,9,,51.108,,,,,
,,,,10,,99.758,,,,,
,,,,11,,637.737,,,,,
,,,,12,,105.202,,,,,
,,,,13,,964.498,,,,,
,,,,14,,203.961,,,,,
,,,,15,,143.265,,,,,
DRA190709-006,vag,W,JL,1,316.123,674.277,69.355,1192.078,69.408,289.8,
,,,,2,,209.304,,,,,
,,,,3,,891.147,,,,,
,,,,4,,67.201,,,,,
,,,,5,,29.833,,,,,
,,,,6,,575.945,,,,,
,,,,7,,113.031,,,,,
,,,,8,,235.553,,,,,
,,,,9,,76.158,,,,,
,,,,10,,89.817,,,,,
,,,,11,,610.052,,,,,
,,,,12,,84.756,,,,,
,,,,13,,918.087,,,,,
,,,,14,,196.621,,,,,
,,,,15,,142.436,,,,,
FJ190815-005,vag,W,JL,1,257.496,717.296,71.721,1286.349,69.57,318.308,
,,,,2,,186.188,,,,,
,,,,3,,1104.527,,,,,
,,,,4,,64.537,,,,,
,,,,5,,21,,,,,
,,,,6,,728.884,,,,,
,,,,7,,98.489,,,,,
,,,,8,,248.45,,,,,
,,,,9,,55.009,,,,,
,,,,10,,81.689,,,,,
,,,,11,,657.983,,,,,
,,,,12,,60.057,,,,,
,,,,13,,1082.556,,,,,
,,,,14,,200.142,,,,,
,,,,15,,137.713,,,,,
FJ190815-001,vag,W,JL,1,199.56,556.163,70.46,1286.223,69.539,291.65,
,,,,2,,135.3,,,,,
,,,,3,,818.355,,,,,
,,,,4,,46.39,,,,,
,,,,5,,20.591,,,,,
,,,,6,,541.181,,,,,
,,,,7,,82.638,,,,,
,,,,8,,191.079,,,,,
,,,,9,,44.643,,,,,
,,,,10,,67.684,,,,,
,,,,11,,483.624,,,,,
,,,,12,,46.636,,,,,
,,,,13,,808.596,,,,,
,,,,14,,122.381,,,,,
,,,,15,,98.082,,,,,
JL190703-001,vag,Q,JL,1,206.998,612.794,68.681,1501.326,69.014,358.151,
,,,,2,,195.351,,,,,
,,,,3,,855.032,,,,,
,,,,4,,56.569,,,,,
,,,,5,,29.155,,,,,
,,,,6,,559.444,,,,,
,,,,7,,89.944,,,,,
,,,,8,,211.395,,,,,
,,,,9,,45.891,,,,,
,,,,10,,79.959,,,,,
,,,,11,,547.883,,,,,
,,,,12,,88.256,,,,,
,,,,13,,847.96,,,,,
,,,,14,,178.011,,,,,
,,,,15,,140.057,,,,,
