specimen.id,species,caste,image.initials,digitizer,its.mm,body.length.mm,l1_femurL_1,l1_femurL_2,l1_femurW_1,l1_femurW_2,l1_tibiaL_1,l1_tibiaL_2,l1_tibiaW_1,l1_tibiaW_2,l1_btarsL_1,l1_btarsL_2,l1_btarsW_1,l1_btarsW_2,l2_femurL_1,l2_femurL_2,l2_femurW_1,l2_femurW_2,l2_tibiaL_1,l2_tibiaL_2,l2_tibiaW_1,l2_tibiaW_2,l2_btarsL_1,l2_btarsL_2,l2_btarsW_1,l2_btarsW_2,l3_femurL_1,l3_femurL_2,l3_femurW_1,l3_femurW_2,l3_tibiaL_1,l3_tibiaL_2,l3_tibiaW_1,l3_tibiaW_2,l3_btarsL_1,l3_btarsL_2,l3_btarsW_1,l3_btarsW_2,notes
JL190809-007,ternarius,W,DY,PF,3.397214956,13.43358148,1.942,1.472,0.45,0.448,1.324,1.336,0.398,0.355,1.062,1.035,0.302,0.286,2.373,1.892,0.71,0.786,1.739,1.601,0.499,0.531,1.505,1.391,0.413,0.434,2.041,2.206,0.667,0.6,2.057,2.319,0.793,0.764,1.676,1.665,0.613,0.693,
JL190809-008,ternarius,M,DY,PF,3.945,16.841,1.954,1.805,0.523,0.482,1.513,1.5,0.436,0.377,1.224,1.078,0.283,0.285,2.035,2.291,0.79,0.786,1.808,2.016,0.726,0.704,1.995,2.127,0.485,0.36,2.223,2.677,0.773,0.807,2.699,2.813,0.855,0.755,2.227,1.828,0.691,0.599,
JL190809-009,ternarius,W,DY,PF,3.61,14.125,1.612,1.643,0.471,0.515,1.338,1.375,0.437,0.39,1.16,1.066,0.398,0.305,2.094,2.156,0.597,0.7,2.383,2.361,0.604,0.89,1.575,1.679,0.442,0.565,2.196,2.244,0.615,0.7,2.451,2.543,0.651,0.854,1.323,1.531,0.417,0.613,
JL190809-010,bimaculatus,M,DY,DY,5.013,20.075,2.348,3.614,1.28,0.936,2.901,2.337,0.84,0.696,2.557,,0.687,,4.521,4.456,1.241,1.335,2.926,3.255,1.41,1.111,3.41,3.58,0.627,0.791,4.926,5.013,1.304,1.314,4.426,4.596,1.464,1.377,3.417,3.113,0.938,1.016,
JL190809-011,bimaculatus,M,DY,DY,4.489,18.512,3.176,3.295,0.88,0.696,2.23,1.993,0.597,0.7,2.553,1.981,0.47,0.543,2.712,,1.283,,2.896,2.109,1.043,1.157,2.98,2.901,0.632,0.828,3.412,4.424,1.178,1.256,4.12,4.223,1.002,0.883,3.015,3.186,0.983,1.03,
JL190809-012,ternarius,Q,DY,PF,5.08737852,19.15343269,2.378,2.341,0.696,0.712,1.818,1.898,0.539,0.533,1.563,1.435,0.495,0.428,3.3,2.809,1.048,0.997,3.498,2.471,0.897,0.826,2.27,2.201,0.719,0.661,3.153,2.867,0.979,1.053,3.373,2.522,1.013,0.8,2.142,2.314,0.85,0.403,
JL190827-010,bimaculatus,W,DY,DY,,,3.29,,0.846,,2.12,,0.817,,1.878,,0.705,,2.846,3.091,1.187,1.201,2.287,2.395,1.039,1.218,2.54,2.519,0.935,0.856,3.966,4.132,1.135,1.131,3.652,3.606,1.239,1.346,2.256,2.721,1.118,0.944,
JL190905-001,impatiens,M,DY,DY,4.776,18.741,2.816,2.5,0.574,0.64,1.955,2.265,0.61,0.67,1.879,1.81,0.437,0.583,3.167,3.22,1.067,1.376,2.813,2.98,0.907,0.852,3.132,3.006,0.509,0.569,4.848,3.963,1.144,0.95,4.083,4.38,1.225,1.097,3.229,2.846,0.774,0.839,
JL190910-001,impatiens,W,CL,DMO,5.015,19.538,2.544,,0.816,,2.175,,0.622,,2.081,,0.587,,2.991,3.467,1.218,1.073,2.868,2.921,0.856,1.051,2.777,2.88,0.852,0.851,3.674,,1.257,,3.84,,1.274,,3.109,,1.329,,
JL200920-003,impatiens,M,DY,DY,,,2.584,,1.066,,1.896,,0.71,,2.426,2.19,0.681,0.881,3.321,3.268,1.361,1.071,2.985,3.1,1.069,1.247,2.959,2.681,1.022,0.982,3.186,3.345,0.883,1.019,3.585,3.287,1.222,1.361,2.331,2.61,0.908,1.154,
