specimen.id,species,caste,digitizer,its.mm,body.length.mm,scale,x,y,notes
,,,,,,,1679.667,493.333,
,,,,,,,1389,596,
,,,,,,,1030.333,490.667,
,,,,,,,1423.667,629.333,
FJ190809-008,ternarius,W,JL,4.07,13.619,141.392,1819,481,its.large.tilt
,,,,,,,1477,538,
,,,,,,,1520,563,
,,,,,,,1597,566,
,,,,,,,1652,548,
,,,,,,,1707,597,
,,,,,,,1699,641,
,,,,,,,1682,650,
,,,,,,,1579,632,
,,,,,,,1484,637,
,,,,,,,1443,598,
,,,,,,,1366,588,
,,,,,,,1145,692,
,,,,,,,1388,700,
,,,,,,,1402,745,
,,,,,,,1413,764,
,,,,,,,1614,733,
,,,,,,,1405,815,
,,,,,,,1157,753,
,,,,,,,1433,834,
FJ190809-009,ternarius,W,JL,3.469,12.514,204.99,1933.667,306,its.large.tilt
,,,,,,,1488.333,304.667,
,,,,,,,1539,354,
,,,,,,,1629.667,368.667,
,,,,,,,1725.667,358,
,,,,,,,1764.333,423.333,
,,,,,,,1751,476.667,
,,,,,,,1728.333,480.667,
,,,,,,,1600.333,443.333,
,,,,,,,1483,436.667,
,,,,,,,1437.667,382,
,,,,,,,1335,354,
,,,,,,,1041.667,463.333,
,,,,,,,1344.333,500.667,
,,,,,,,1351,563.333,
,,,,,,,1364.333,583.333,
,,,,,,,1627,579.333,
,,,,,,,1345.667,643.333,
,,,,,,,1053.667,539.333,
,,,,,,,1376.333,678,
FJ190809-010,ternarius,W,JL,4.133,14.701,201.94,2253.333,404.333,
,,,,,,,1736,417.667,
,,,,,,,1794.667,469.667,
,,,,,,,1894.667,481.667,
,,,,,,,2005.333,468.333,
,,,,,,,2054.667,547,
,,,,,,,2041.333,601.667,
,,,,,,,2009.333,611,
,,,,,,,1865.333,565.667,
,,,,,,,1732,564.333,
,,,,,,,1674.667,501.667,
,,,,,,,1556,473.667,
,,,,,,,1241.333,592,
,,,,,,,1582.667,634.667,
,,,,,,,1596,702.667,
,,,,,,,1609.333,728,
,,,,,,,1904,725.333,
,,,,,,,1588,794.667,
,,,,,,,1248,677.333,
,,,,,,,1622.667,829.333,
FJ190809-012,ternarius,W,JL,3.699,14.451,201.298,1992.333,102.667,its.large.tilt
,,,,,,,1493.667,186.667,
,,,,,,,1560.333,226.667,
,,,,,,,1668.333,229.333,
,,,,,,,1763,204,
,,,,,,,1835,272,
,,,,,,,1825.667,334.667,
,,,,,,,1800.333,345.333,
,,,,,,,1645.667,320,
