specimen.id,species.det,provisional.species,caste,its.mm,body.length.mm,mouthparts,forewings,hindwings,legs
FJ170703-038,vagans,,W,4.769,18.727,FALSE,TRUE,TRUE,FALSE
FJ170703-039,bimaculatus,,W,4.236,15.592,FALSE,TRUE,TRUE,FALSE
FJ170703-041,ternarius,,W,3.997,15.573,FALSE,TRUE,TRUE,FALSE
FJ170703-042,impatiens,,W,3.878,14.182,FALSE,TRUE,TRUE,FALSE
FJ170703-044,impatiens,,W,4.616,NA,FALSE,TRUE,TRUE,FALSE
FJ170703-045,bimaculatus,,W,3.721,NA,FALSE,TRUE,TRUE,FALSE
FJ170703-045a,bimaculatus,,W,NA,NA,FALSE,TRUE,TRUE,FALSE
FJ170703-048,ternarius,,W,5.05,22.237,FALSE,TRUE,TRUE,FALSE
FJ170706-007,vagans,,W,4.626,17.12,FALSE,TRUE,TRUE,FALSE
FJ170706-008,vagans,,W,4.306,18.243,FALSE,TRUE,TRUE,FALSE
FJ170709-051,borealis,,W,4.636,17.692,FALSE,TRUE,TRUE,FALSE
FJ170709-052,vagans,,Q,5.648,23.301,FALSE,TRUE,TRUE,FALSE
FJ170709-063,borealis,,W,4.574,19.913,FALSE,TRUE,TRUE,FALSE
FJ170709-064,bimaculatus,,W,4.268,17.788,FALSE,TRUE,TRUE,FALSE
FJ170709-066,bimaculatus,,W,4.369,19.137,FALSE,TRUE,TRUE,FALSE
FJ170712-009,borealis,,W,4.656,22.624,FALSE,TRUE,TRUE,FALSE
FJ170712-011,borealis,,W,4.625,19.517,FALSE,TRUE,TRUE,FALSE
FJ170712-018,vagans,,W,4.821,18.55,FALSE,TRUE,TRUE,FALSE
FJ170712-020,vagans,,W,3.63,13.356,FALSE,TRUE,TRUE,FALSE
FJ170712-038,,cf sandersoni,W,4.637,19.333,FALSE,TRUE,TRUE,FALSE
FJ170712-071,bimaculatus,,W,4.407,20.234,FALSE,TRUE,TRUE,FALSE
FJ170722-029,,cf rufocinctus,M,4.652,19.692,FALSE,TRUE,TRUE,FALSE
FJ170722-031,vagans,,W,5.617,NA,FALSE,TRUE,TRUE,FALSE
FJ170723-032,bimaculatus,,W,4.343,18.153,FALSE,TRUE,TRUE,FALSE
FJ170727-030,bimaculatus,,W,4.582,20.316,FALSE,TRUE,TRUE,FALSE
FJ170804-081,bimaculatus,,W,4.165,0.997,FALSE,TRUE,TRUE,FALSE
FJ170830-162,vagans,,W,NA,NA,FALSE,TRUE,TRUE,FALSE
FJ170830-165,borealis,,M,NA,NA,FALSE,TRUE,TRUE,FALSE
FJ170830-166,vagans,,W,NA,NA,FALSE,TRUE,TRUE,FALSE
FJ170830-169,borealis,,W,NA,NA,FALSE,TRUE,TRUE,FALSE
FJ170830-169a,vagans,,W,NA,NA,FALSE,TRUE,TRUE,FALSE
FJ180603-006,bimaculatus,,W,NA,NA,FALSE,TRUE,TRUE,FALSE
FJ180607-002,impatiens,,Q,6.899,NA,FALSE,TRUE,TRUE,FALSE
FJ180607-003,bimaculatus,,Q,7.400108637,NA,FALSE,TRUE,TRUE,FALSE
FJ180607-004,bimaculatus,,W,5.266,25.234,FALSE,TRUE,TRUE,FALSE
FJ180607-005,bimaculatus,,W,NA,NA,FALSE,TRUE,TRUE,FALSE
FJ180607-007,impatiens,,Q,7.4,NA,FALSE,TRUE,TRUE,FALSE
FJ180619-009,bimaculatus,,W,4.548,20.074,FALSE,TRUE,TRUE,FALSE
FJ180619-014,vagans,,W,4.302,17.099,FALSE,TRUE,TRUE,TRUE
FJ190529-001,impatiens,impatiens,W,6.147381338,22.94759351,TRUE,TRUE,TRUE,TRUE
FJ190605-002,impatiens,,Q,6.236,NA,FALSE,TRUE,TRUE,FALSE
FJ190605-003,impatiens,,Q,6.706,28.283,FALSE,TRUE,TRUE,FALSE
FJ190610-011,,cf rufocinctus,W,NA,NA,FALSE,TRUE,TRUE,FALSE
FJ190610-012,rufocinctus,cf rufocinctus,W,5.77,26.133,FALSE,TRUE,TRUE,FALSE
FJ190610-013,vagans,,W,5.047,21.318,FALSE,TRUE,TRUE,FALSE
FJ190612-001,bimaculatus,bimaculatus,W,3.299,13.888,TRUE,TRUE,TRUE,FALSE
FJ190612-002,impatiens,impatiens,W,4.321,17.141,TRUE,TRUE,TRUE,FALSE
FJ190612-003,impatiens,,W,4.339,15.956,FALSE,TRUE,TRUE,FALSE
FJ190619-001,ternarius,,Q,5.658,23.152,FALSE,TRUE,TRUE,FALSE
FJ190619-002,ternarius,,Q,6.171,23.341,FALSE,TRUE,TRUE,FALSE
FJ190619-003,ternarius,ternarius,W,4.019258487,16.42328612,TRUE,TRUE,TRUE,FALSE
FJ190619-004,ternarius,ternarius,W,3.529018305,15.91967741,TRUE,TRUE,TRUE,FALSE
FJ190619-005,bimaculatus,bimaculatus,W,4.056,18.564,TRUE,TRUE,TRUE,FALSE
FJ190619-006,terricola,terricola,W,4.78197102,19.96802543,TRUE,TRUE,TRUE,FALSE
FJ190619-007,ternarius,ternarius,W,4.242865113,17.14082928,TRUE,TRUE,TRUE,FALSE
FJ190619-008,bimaculatus,bimaculatus,W,4.877,20.925,TRUE,TRUE,TRUE,FALSE
FJ190619-009,terricola,terricola,W,4.88796576,18.19281733,TRUE,TRUE,TRUE,FALSE
FJ190619-010,ternarius,ternarius,W,3.966394109,16.61220903,TRUE,TRUE,TRUE,FALSE
FJ190621-001,bimaculatus,bimaculatus,W,3.752,16.783,TRUE,TRUE,TRUE,FALSE
FJ190621-002,ternarius,ternarius,W,3.845663848,14.83543728,TRUE,TRUE,TRUE,FALSE
FJ190627-001,bimaculatus,bimaculatus,W,3.835,16.676,TRUE,TRUE,TRUE,TRUE
FJ190627-002,bimaculatus,,W,3.932,16.328,FALSE,TRUE,TRUE,TRUE
FJ190627-003,impatiens,impatiens,Q,6.106852376,29.13261952,FALSE,FALSE,FALSE,TRUE
FJ190627-004,impatiens,impatiens,W,4.212,19.807,TRUE,TRUE,TRUE,TRUE
FJ190627-005,impatiens,impatiens,W,4.201,16.837,TRUE,TRUE,TRUE,TRUE
FJ190628-001,bimaculatus,,W,4.902,16.825,TRUE,TRUE,TRUE,FALSE
FJ190628-001,terricola,terricola,W,4.901665955,16.82465054,TRUE,TRUE,TRUE,FALSE
FJ190628-002,terricola,cf vagans,W,4.655862903,18.04695928,TRUE,TRUE,TRUE,FALSE
FJ190628-003,bimaculatus,bimaculatus,W,4.427,17.715,TRUE,TRUE,TRUE,FALSE
FJ190628-004,bimaculatus,bimaculatus,W,4.239,17.877,TRUE,TRUE,TRUE,FALSE
FJ190628-005,bimaculatus,bimaculatus,W,4.229,15.028,TRUE,TRUE,TRUE,FALSE
FJ190628-006,ternarius,ternarius,W,4.139635407,14.77755859,TRUE,TRUE,TRUE,FALSE
FJ190628-008,bimaculatus,bimaculatus,W,4.263,18.431,TRUE,TRUE,TRUE,FALSE
