specimen_id,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,species,caste,investigator,scale,scale1,body,scale2,its,notes
FJ190628-012,2.454584898,0.685009151,3.692436338,0.227032123,0.11044145,2.261489855,0.389191726,0.879315105,0.218796346,0.316114985,2.307370389,0.283440093,3.513422581,0.68817251,0.500978196,bim,W,JL,253.528,71.124,1287.037,69.811,305.182,
FJ190628-013,2.648442612,0.718341409,3.960859564,0.260936239,0.11935625,2.497079521,0.411841688,0.892703018,0.257455751,0.278675889,2.396181499,0.296387438,3.812406916,0.782768574,0.596857525,bim,W,JL,249.103,68.336,1353.854,71.048,315.246,
FJ190628-014,2.095880707,0.626789276,2.675930913,0.222838098,0.088199674,1.768674573,0.296482002,0.719082454,0.206715436,0.286166632,1.878206823,0.268666412,2.728183483,0.632452936,0.434208508,tern,W,JL,306.339,70.696,1153.916,70.023,257.56,
FJ190703-001,2.221298817,0.683194168,3.669203487,0.251406921,0.104701078,2.04294053,0.343537326,0.682762276,0.183344676,0.314921212,2.02185635,0.324592975,2.851520783,0.615151555,0.546709769,vag,W,JL,152.816,70.43,1227.547,68.521,240.301,its.slight.tilt; fur.yes
FJ190703-002,2.244882598,0.689322698,3.127294766,0.240884475,0.120210887,1.765016586,0.338282925,0.748317008,0.218704178,0.315789817,2.028009671,0.309892015,3.089392429,0.699779077,0.499863145,vag,W,JL,306.894,68.805,1152.98,69.023,279.27,
FJ190703-003,3.855746592,1.117607874,5.912448748,0.357337284,0.162422906,4.090640756,0.58799343,1.238764658,0.290780875,0.456718235,3.679151018,0.502578415,5.567457993,1.02630098,0.739436539,bor,Q,JL,87.069,69.008,1541.644,66.355,403.113,its.large.tilt; fur.yes
FJ190703-004,2.89998282,0.900035315,4.297722674,0.279616691,0.139135456,2.868719696,0.503173558,1.039018058,0.246544878,0.414390295,2.802394724,0.355586416,4.198125453,0.851687474,0.656859657,vag,Q,JL,209.544,68.688,1478.55,69.357,379.352,
FJ190703-004,2.938978717,0.933878501,4.29134681,0.271275149,0.137701039,2.824836951,0.473198823,0.98016689,0.254614764,0.41387602,2.833505885,0.381495141,4.188593457,0.865500313,0.678090067,vag,Q,JL,209.599,68.238,1652.899,69.084,381.518,
FJ190703-005,2.515140193,0.72491165,3.940828702,0.249365591,0.12867607,2.226102626,0.390161599,0.935994738,0.243745427,0.341568975,2.211810907,0.376208491,3.705883269,0.687753958,0.652954867,bim,W,,256.932,69.726,1451.37,68.869,308.084,
FJ190703-006,2.22852743,0.655792675,3.082376353,0.23940035,0.092117615,1.85196497,0.366065688,0.759644814,0.221457781,0.286859263,2.063061007,0.349444459,2.970171806,0.661724235,0.431232479,bim,W,JL,311.048,68.819,1060.226,68.592,284.155,
FJ190703-007,2.438261976,0.847261565,3.66016322,0.240113805,0.112482374,2.130932029,0.361774212,0.878745149,0.235446797,0.356364725,2.23851654,0.378639081,3.348534385,0.748536881,0.558755631,vag,W,JL,160.274,67.723,1040.597,67.841,297.188,its.no.tilt; fur.no
FJ190703-009,2.421434659,0.775235497,3.483861142,0.232677583,0.110222519,2.099807844,0.381117488,0.889787202,0.20779124,0.31058026,2.143323299,0.399889178,3.413103567,0.720981326,0.494467001,vag,W,JL,308.603,68.476,1316.082,70.007,315.417,
FJ190703-010,2.180525262,0.664414394,2.88707387,0.226353452,0.106320906,1.752005544,0.303663966,0.77759112,0.208756021,NA,1.986594643,0.375832614,2.902539685,0.613054522,0.447605258,tern,W,JL,323.229,70.336,1187.169,68.974,280.129,
FJ190703-012,2.429323699,0.753299194,3.48331849,0.239299545,0.119648086,2.209633783,0.333336707,0.840657005,0.232643808,0.302453143,2.210520989,0.49128311,3.417715797,0.7686111,0.577632271,vag,W,,296.436,68.633,1304.025,69.77,319.681,
FJ190703-013,2.249842907,0.700161137,3.111812758,0.224751607,0.114214256,2.175446237,0.368119801,0.759607548,0.200344671,0.284017594,2.01134179,0.334411726,3.001294072,0.560488512,0.454169337,imp,W,JL,160.733,68.884,1244.474,70.214,292.542,its.slight.tilt; fur.yes - there's a little bit of a fuzzy part at the base of the glossa
FJ190705-002,2.39804488,0.574313498,3.534796713,0.240739425,0.09763365,2.366910563,0.383383454,0.837216737,0.203428761,0.284467177,2.306800691,0.261928441,3.43474383,0.614509089,0.466245175,bim,W,JL,253.386,69.462,1267.059,70.064,273.591,
FJ190705-003,2.290402547,0.73283232,3.324700704,0.21542673,0.110558491,2.060062894,0.379872253,0.830796283,0.223772171,0.291953366,2.124394456,0.289838613,3.305111827,0.715037067,0.471589863,imp,W,JL,255.349,67.912,1364.8,68.066,321.31,
FJ190705-004,2.292834831,0.572910522,3.305858308,0.226389305,0.099984204,2.055388464,0.324307161,0.786750223,0.213952529,0.277503232,2.251978505,0.246743325,3.155872331,0.612084111,0.480147256,bim,W,JL,310.209,70.404,1215.222,68.316,279.292,
FJ190705-005,2.375134726,0.766044588,3.561823514,0.255504968,0.152492994,2.126109649,0.367720738,0.806145445,0.218023503,0.338339136,2.115096447,0.339834998,3.357798405,0.74606928,0.515504053,imp,W,JL,153.089,68.601,1231.307,69.08,299.282,its.slight.tilt; fur.yes
